,2001_renew,2001_gdp
0,0.005145834,0.005145834
1,0.036361827,0.036361827
2,0.000702644,0.000702644
3,0.0,0.0
4,0.010405331,0.010405331
5,0.0,0.0
6,0.0,0.0
7,0.385648226,0.385648226
8,0.009899014,0.009899014
9,0.0,0.0
10,0.186004333,0.186004333
11,0.435303519,0.435303519
12,0.013308904,0.013308904
13,0.0,0.0
14,0.010167672,0.010167672
15,0.0,0.0
16,0.00030999,0.00030999
17,0.021254981,0.021254981
18,0.001101229,0.001101229
19,2.0666e-05,2.0666e-05
20,0.0,0.0
21,0.019849693,0.019849693
