,2011_renew,2011_gdp
0,0.005783935,18190410820.6
1,0.03975282,12890764531.3
2,0.004829824,200013052199.2
3,0.0,570000000.0
4,0.038650248,109436566876.4
6,4.858e-06,1137637037.0
7,0.410328445,530163281574.7
8,0.023969372,10142111334.5
9,0.001102766,2637988826.8
10,0.272277054,1398405797101.5
11,0.399420173,431685217367.5
12,0.025737684,65951627200.2
13,0.0,28776595744.7
14,0.0094991,128637938711.4
15,2.9148e-05,4657699450.0
16,0.002407391,61757788944.7
17,0.113370316,523330354138.1
18,0.003293743,1819500000.0
19,9.716e-06,10693321370.0
20,0.0,6312691000.0
21,0.0677691,1777101316.7
22,0.023434992,23963033429.4
23,0.042206304,18644723861.0
24,0.0,15110716533.6
25,5.045531384,2616201578192.3
26,1.32235e-05,0.0
27,0.0,18525319977.7
28,0.038132175,57678241023.8
29,0.00087444,12080296644.1
31,0.00131166,2235820867.8
32,0.0002429,1865915544.1
33,0.000644171,12829541141.0
34,0.042323187,30630912184.8
35,3.850011858,1793326630174.5
36,0.0,4186223809.0
37,0.001421451,2437982839.6
38,0.0,12172309522.6
39,0.252110787,251224856981.3
40,7.782209568,7551500124203.4
41,0.504935608,334943877377.5
42,4.858e-05,1023086183.8
43,0.0076086,15655384440.4
46,0.086452968,42762617081.7
47,0.051214994,63408294943.5
48,0.012246432,68990000000.0
49,0.001973816,27642086581.3
50,0.080464143,229562733398.9
51,0.017080728,36693712824.8
52,0.148583291,344003137611.3
53,0.0,1239144501.8
54,0.000348804,501025925.9
55,0.01573992,58029750745.6
56,0.109820337,79276664000.0
57,0.145688931,235989672977.6
58,0.03733956,20283780000.0
59,0.000272048,21357344847.5
60,4.858e-05,2065001626.0
61,0.011457107,23213994093.5
62,0.004731223,4820499924.3
63,0.061160428,31952763089.3
65,0.001039612,2505746270.0
66,0.005140736,3779378133.9
67,0.244692082,275604356167.3
70,0.0,0.0
71,0.0,27474380566.3
72,0.748760948,2865157541994.2
73,0.006791484,775890868.6
74,0.002237595,6203936563.3
75,0.008171156,18210308748.3
76,3.49776e-05,1409694553.9
77,0.075891676,15107441446.8
78,1.384767965,3749314991050.6
80,0.0,3749314991050.6
81,0.072879716,39337314809.9
82,0.0,0.0
83,0.084450965,282995942006.6
84,0.00325486,2684467375.7
85,1.65172e-05,778655925.9
87,1.9432e-06,4984000000.0
88,0.050550405,46876114650.5
89,0.004021452,6785137172.8
90,0.0,1099818652.0
91,0.000527899,3691384317.5
92,0.00116592,13008754110.8
94,0.029818404,17710315006.0
95,0.001590759,248513617677.3
96,0.035343482,141942264554.5
97,0.163704865,15221622925.9
98,1.707746927,1823049927772.1
99,0.275012592,892969107923.1
100,0.118839372,626133114526.8
101,0.032674908,185749664444.4
102,0.053747394,239003132208.1
103,0.002924516,266791854430.9
104,0.843400334,2294994296589.5
105,0.002613604,14444655299.9
106,1.061470097,6233147172341.4
107,0.00063154,29524149164.9
108,0.07583338,192626507971.6
109,0.050806256,46869457318.3
110,6.8012e-06,180665807.1
111,0.001039612,6341737193.8
112,0.0,154068115942.0
115,0.032016043,27474380566.3
116,0.007753368,39927125961.2
117,0.00476084,2579421686.2
118,0.0,2398000000.0
119,5.8296e-05,48167374612.0
120,0.014438784,43535051482.4
121,0.00298084,61696281326.2
123,0.006816454,11551819617.6
124,0.018315521,8004000737.3
125,0.090734796,297951960784.3
126,2.13752e-05,2774351760.0
127,0.011789686,12995113407.2
128,0.000136269,9638919821.8
130,0.00126308,6764635686.8
131,0.005980432,11518393367.2
132,0.43430445,1180489601957.6
133,0.0,311301600.0
134,0.003381168,8414351672.0
135,0.000592676,10409797649.3
136,0.011581472,4544516982.2
