Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256838857.6,2069870129.9,1272835453.4,1201312829.3,1315158636.7,1468317435.2,1596968946.2,1639492444.8,1893726437.3,1845482173.0,1911563668.9,2118467913.4,2376335048.4,2807061008.7,3576615240.4,4900469950.1,6384451606.1,9206301700.4,11662040713.9,8647936748.0,9260284937.8,10142111334.5,10619320048.6,11121465767.4,11609512939.8,10553337673.0,10546135160.0,11527458565.7,12457941907.0,13619291361.3,12641697523.3,13861409968.8
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223.5,1245810055.9,1320670391.1,1379888268.2,1531843575.4,1665363128.5,1722905027.9,1873184357.5,1896648044.7,1962011173.2,2044134078.2,2254748603.4,2359776536.3,2469832402.2,2677653631.3,2843016759.8,2553631284.9,2453631284.9,2637988826.8,2615083798.9,2727932960.9,2791061452.5,2963128491.6,2983798882.7,3092178770.9,3202234636.9,3368970253.1,2610038937.6,3126019399.1
Australia,149984401114.2,176891907581.6,194037294494.1,177267197005.1,193519289983.7,180633581345.4,182472020145.5,189487824245.6,236153958090.8,299877860109.1,311433628318.6,325986971195.4,325531800353.8,312138139404.2,322809408509.2,368140778140.8,401311077390.0,435614337142.0,399660855999.5,389389647825.5,415851284305.7,379358162498.7,395580786940.1,467497961560.9,614326362213.7,695328522026.8,747906558850.0,854427259166.2,1055642793196.1,928626859078.2,1148610059015.2,1398405797101.5,1546892142709.8,1576380424746.1,1467545212521.8,1350615691821.3,1206535157956.0,1326516328531.6,1428288504767.1,1392227864397.1,1326901059123.2,1552667363236.1
Austria,82058912997.2,71034228443.1,71275287569.6,72121016546.7,67985344886.9,69386774408.1,99036164939.2,124168442533.7,133339397080.1,133105805512.2,166463386179.4,173794177961.1,195078126721.8,190379720809.2,203535242741.8,241038283062.6,237250948791.3,212790348404.6,218259904402.0,217259147050.0,197289625479.9,197508773215.3,214394866675.2,262273631180.1,301457562038.5,316092273276.0,336280064332.4,389185571506.1,432051935642.9,401758735822.2,392275107258.7,431685217367.5,409401816050.5,430190979706.0,442584815286.0,381971148530.5,395837353031.5,417261151845.0,454991174096.1,444621176100.5,435225238000.4,480368403893.4
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8858006035.9,8792365810.5,446305555.6,1570000000.0,1193312101.9,2417355840.0,3176333837.0,3962238113.2,4446368570.7,4581432038.8,5272798390.7,5707720390.9,6235856819.6,7276753894.7,8680370408.1,13245716099.0,20982986344.3,33050343782.8,48852482960.1,44291490420.5,52909294791.9,65951627200.2,69683935845.2,74164435946.5,75244294275.1,53074370486.0,37867518957.2,40865558912.4,47112941176.5,48174235294.1,42693000000.0,54622176470.6
"Bahamas, The",1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11861900000.0,11834600000.0,12357600000.0,12755800000.0,13192800000.0,9699500000.0,11208600000.0
Bahrain,3072698328.5,3467819148.9,3645744680.9,3735106383.0,3905585106.4,3651861702.1,3052393617.0,3392021010.6,3702393617.0,3863563829.8,4229787234.0,4616223404.3,4751063829.8,5200265957.4,5567553457.4,5849467819.1,6101861436.2,6349202393.6,6183776595.7,6621010372.3,9062898936.2,8976196808.5,9593510638.3,11074813829.8,13150159574.5,15968723404.3,18504760638.3,21730000000.0,25710904255.3,22938218085.1,25713271276.6,28776595744.7,30749308510.6,32539468085.1,33387712766.0,31050638297.9,32234973404.3,35473776595.7,37802005319.1,38653318085.1,34723357446.8,38868663031.9
Bangladesh,18138049095.6,20249694002.4,18525399201.6,17609048821.5,18920840000.0,22278423076.9,21774033333.3,24298032258.1,26579005760.3,28781714763.9,31598341233.5,30957483949.6,31708874594.2,33166519418.0,33768660882.8,37939748768.7,46438484107.6,48244309133.5,49984559471.4,51270569883.5,53369787318.6,53991289844.3,54724081490.5,60158929188.3,65108544250.0,69442943089.4,71819083683.7,79611888213.1,91631278239.3,102477791472.4,115279077465.2,128637938711.4,133355749482.5,149990451022.3,172885454931.5,195078678697.2,265236247989.2,293754646182.4,321379023557.5,351238474244.7,373902134700.4,416264942893.3
Barbados,1012280614.5,1114204743.2,1163923830.4,1236016506.7,1346890071.1,1409536120.9,1547755183.2,1704370307.8,1812757917.8,2006165166.8,2012131457.3,2020583702.1,1957000000.0,2063342117.0,2151344901.3,2216974096.4,2363645403.5,2498384129.7,2817083478.3,2951822204.5,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450800.0,4674007450.0,4784925100.0,4465657300.0,4529928300.0,4657699450.0,4610096000.0,4677248300.0,4696344350.0,4724691200.0,4832811750.0,4981588900.0,5097283200.0,5324250000.0,4671800000.0,4843800000.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21650000000.0,18000000000.0,17037037037.0,16280991735.5,14932024169.2,13972676840.9,14756846153.8,14128408565.7,15222012660.4,12138486532.0,12736856828.0,12354820143.9,14594249022.9,17827791321.3,23144351851.9,30207567316.6,36954312354.3,45277399813.6,60763483146.1,50874078052.3,57222490768.7,61757788944.7,65685102554.9,75527984234.2,78813839984.4,56454734396.6,47722657820.7,54726595249.2,60031262269.3,64409647193.8,61371126414.2,68205380706.7
Belgium,126829314388.2,104730018470.2,92095926187.5,87184239053.3,83349530159.2,86268264148.4,120018787249.4,149394404105.9,162299103675.3,164221056511.1,205331747947.9,210510999409.3,234781652446.7,224721795709.0,244884129491.2,288025588396.3,279201433224.8,252708051420.8,258528339631.0,258245733221.5,236792460312.5,236746141604.4,258383599375.2,318082528506.6,369214712443.2,385714762230.0,408259840868.8,470922156309.5,517328087920.1,483254171097.8,481420882905.0,523330354138.1,496152879924.7,521791015247.1,535390200131.0,462335574841.5,476062757356.9,502764720556.4,543299066998.9,535830876745.1,525211810652.6,594104177539.5
Belize,197938222.4,196089854.7,182206327.0,192103186.0,214381949.0,212643742.7,231638320.5,281082558.6,320093360.3,369133890.7,549500000.0,599000000.0,693500000.0,751000000.0,771500000.0,818500000.0,851500000.0,868000000.0,914000000.0,975000000.0,1116000000.0,1163000000.0,1233000000.0,1298000000.0,1389500000.0,1461500000.0,1581000000.0,1696000000.0,1729000000.0,1680500000.0,1738500000.0,1819500000.0,1903000000.0,2029500000.0,2138000000.0,2210500000.0,2258500000.0,2286000000.0,2315000000.0,2416500000.0,2080000000.0,2491500000.0
Benin,1405251547.2,1291119965.1,1267778489.0,1095348302.9,1051133927.0,1045712703.0,1336102040.7,1562412030.3,1620246187.2,1502294411.5,1959965243.8,1986437859.9,1695315305.7,2274557914.1,1598075932.4,2169627250.9,2361116587.9,2268301537.7,2455092582.3,3677394291.5,3519991326.5,3666222600.1,4194342849.5,5349258334.3,6190270756.1,6567654493.5,7034111651.5,8169048690.1,9787735426.0,9738626993.3,9535345011.5,10693321370.0,11141358106.0,12517845127.7,13284527850.3,11388160997.1,11821065852.1,12701655846.0,14262408079.7,14391686309.0,15651545208.9,17144918952.5
Bermuda,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7286607000.0
Bhutan,128717410.9,139150441.3,141366534.5,156687192.1,160459970.5,163272314.8,191230747.1,242770861.6,272241005.2,264725207.0,287658184.0,240319995.6,240215763.9,225998091.2,258985597.7,290464801.1,303435517.9,352260952.9,363452787.2,399268801.7,424464089.9,461444513.7,520849551.5,604041957.9,682523857.0,796938120.2,874989895.6,1168308516.6,1227808790.7,1234014291.8,1547991317.8,1777101316.7,1781281281.6,1756215665.1,1907090813.5,2003598213.0,2158972129.0,2450364928.1,2446866404.9,2535657069.1,2325184481.4,2539552984.7
Bolivia,4537487802.5,5891606684.9,5594118407.0,5422656265.8,6169481549.4,5377276656.9,3959379399.6,4347956337.8,4597615622.5,4715978693.6,4867582597.5,5343274395.4,5643893347.0,5734676631.3,5981244865.3,6715220486.2,7396966618.1,7925673467.4,8497545543.6,8285075837.9,8397912525.3,8141537877.1,7905485146.4,8082364816.2,8773451751.5,9549077918.7,11451869202.2,13120183207.7,16674324661.9,17339992193.7,19649631308.2,23963033429.4,27084497481.9,30659338885.7,32996188017.4,33000198248.3,33941126200.1,37508642165.3,40287647930.5,40895322843.8,36629843805.0,40408208528.2
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255802469.1,1866572953.7,2786045321.6,3671816504.2,4116699437.4,4685733115.5,5567405605.3,5800774707.2,6728771318.6,8498560877.1,10157553968.3,11222953328.7,12864610865.2,15778767389.8,19112739364.9,17613836494.1,17176781065.9,18644723861.0,17226849165.7,18178503835.4,18558343304.8,16211541593.4,16913330976.8,18080118186.0,20183510863.0,20202479537.5,19950471170.6,23365361635.2
Botswana,1060923829.1,1073861599.1,1014907254.5,1172258182.1,1240796364.8,1114764007.1,1392634772.0,1965274882.4,2644536804.1,3083800684.9,3790567051.9,3942792837.4,4146513722.3,4160086253.1,4259330999.0,4730611067.0,4847752842.8,5020214747.5,4790458837.2,5484257417.2,5788329609.2,5489608299.7,5438857106.7,7511582173.4,8957467706.5,9918907108.1,9919158482.4,10567270655.5,10730763098.9,10118518637.1,12637319933.5,15110716533.6,13907510005.9,14271752527.1,15470059201.7,13530738157.8,15082579073.9,16105182316.3,17031901441.2,16695928792.6,14930072458.6,17614791265.7
Brazil,237393489892.6,258015174748.6,271314113768.4,189656506321.4,188339974086.6,176123719326.6,215878631802.8,237517984427.8,258816125587.5,347028139590.2,390725626002.9,342609231342.8,328187960872.0,368295778245.1,525369851353.7,769333330411.6,850426432991.7,883206452805.5,863711007313.9,599642075029.8,655448188237.4,559991261406.2,509788814956.9,558229210853.0,669293772178.7,891630177210.0,1107640289661.2,1397084349956.4,1695824565928.7,1667019783635.1,2208871646202.8,2616201578192.3,2465188674415.0,2472806919901.7,2455993625159.4,1802214373741.3,1795700168991.5,2063507864886.9,1916947014067.6,1873274432754.5,1448559976218.2,1608981456325.1
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,4928824958.0,4366213849.6,4264252336.4,3844723142.5,3782523088.5,3523612563.1,2358592817.1,2754463437.8,2690717551.2,2985467979.3,3520551724.1,3701667052.6,4183548189.1,4105706151.8,4087337959.9,4734020036.7,5115602836.9,5197332974.1,4051147227.5,4600000000.0,6001153306.3,5601090584.4,5843329107.6,6557333084.6,7872333215.0,9531402847.9,11470703002.1,12247694247.2,14393099068.6,10732366286.3,13707370737.1,18525319977.7,19047940300.9,18093829923.3,17098342541.4,12930394937.8,11400854267.7,12128104859.1,13567351175.0,13469422958.5,12005825759.2,14006569575.7
